occupation,ai_exposure_index,anzsco_code,onet_soc_code,index_source,mapping_confidence,mapping_note,soc_clean,in_aioe_population,recomputed_from_appendix,abs_diff
Data Engineer,94.22,,15-1141,Felten-AIOE,medium,15-1141 Database Administrators: Database administrator is the closest SOC 2010 cell.,15-1141,True,94.2154,0.0046
Data Science Consultant,96.55,,15-2041,Felten-AIOE,medium,15-2041 Statisticians: Statisticians; no SOC 2010 Data Scientist cell.,15-2041,True,96.5469,0.0031
Data Science Lead,96.55,,15-2041,Felten-AIOE,medium,15-2041 Statisticians: Statisticians; seniority does not change SOC.,15-2041,True,96.5469,0.0031
Data Scientist,96.55,,15-2041,Felten-AIOE,medium,15-2041 Statisticians: Statisticians; SOC 2010 has no Data Scientist cell (15-2051 is SOC 2018).,15-2041,True,96.5469,0.0031
Dental Officer,59.28,,29-1021,Felten-AIOE,high,"29-1021 Dentists, General: Dentist, general.",29-1021,True,59.2846,0.0046
Deputy Director of Medical Services,93.63,,11-9111,Felten-AIOE,high,11-9111 Medical and Health Services Managers: Medical and health services manager.,11-9111,True,93.6292,0.0008
Design Director,87.97,,27-1011,Felten-AIOE,low,27-1011 Art Directors: Read as creative direction (art directors); an architecture reading would map to 17-1011.,27-1011,True,87.9651,0.0049
Design Manager,83.55,,11-9041,Felten-AIOE,low,11-9041 Engineering Managers: Read as design-delivery management (engineering managers); ambiguous with creative design management.,11-9041,True,83.5457,0.0043
Development Manager,88.12,,11-9021,Felten-AIOE,medium,11-9021 Construction Managers: Property development management; construction managers is the closest SOC cell.,11-9021,True,88.123,0.003
Digital Content Officer,94.22,,27-3031,Felten-AIOE,medium,27-3031 Public Relations Specialists: Organisational content/communications; public relations specialist.,27-3031,True,94.2169,0.0031
Digital Reporter,91.88,,27-3022,Felten-AIOE,high,27-3022 Reporters and Correspondents: Reporter/correspondent.,27-3022,True,91.8763,0.0037
Director,95.39,,11-1011,Felten-AIOE,low,11-1011 Chief Executives: Bare title; read as company director (chief executives). Highly ambiguous.,11-1011,False,,
Director of Clinical Development & Innovation,93.63,,11-9111,Felten-AIOE,medium,11-9111 Medical and Health Services Managers: Medical and health services manager.,11-9111,True,93.6292,0.0008
Director of Learning and Teaching,98.42,,11-9033,Felten-AIOE,medium,"11-9033 Education Administrators, Postsecondary: Postsecondary education administrator.",11-9033,True,98.4153,0.0047
Disability Support Worker,49.93,,39-9021,Felten-AIOE,medium,39-9021 Personal and Home Care Aides: Personal and home care aide.,39-9021,True,49.9349,0.0049
ELICOS Teacher,95.74,,25-3011,Felten-AIOE,high,"25-3011 Adult Literacy, Remedial Education, and GED Teachers and Instructors: ESL/adult language instruction.",25-3011,True,95.7422,0.0022
ESL Teacher,95.74,,25-3011,Felten-AIOE,high,"25-3011 Adult Literacy, Remedial Education, and GED Teachers and Instructors: ESL/adult language instruction.",25-3011,True,95.7422,0.0022
Ecological Restoration Consultant,65.25,,19-1031,Felten-AIOE,medium,19-1031 Conservation Scientists: Conservation scientist.,19-1031,True,65.2493,0.0007
Education Manager,72.04,,11-9039,Felten-AIOE,medium,"11-9039 Education Administrators, All Other: Education administrators, all other.",11-9039,True,72.0414,0.0014
Education Officer,94.62,,25-9031,Felten-AIOE,medium,25-9031 Instructional Coordinators: Instructional coordinator.,25-9031,True,94.6202,0.0002
Education Training and Workforce Developement Lead,94.2,,11-3131,Felten-AIOE,medium,11-3131 Training and Development Managers: Training and development manager.,11-3131,True,94.2049,0.0049
Educational Consultant,94.62,,25-9031,Felten-AIOE,medium,25-9031 Instructional Coordinators: Instructional coordinator.,25-9031,True,94.6202,0.0002
Educational Designer,94.62,,25-9031,Felten-AIOE,high,25-9031 Instructional Coordinators: Instructional coordinator (instructional design).,25-9031,True,94.6202,0.0002
Endodontic Registrar,59.28,,29-1021,Felten-AIOE,medium,"29-1021 Dentists, General: SOC 2010 has no dental-specialist-nec cell; imputed from dentists, general.",29-1021,True,59.2846,0.0046
Endodontist,59.28,,29-1021,Felten-AIOE,medium,"29-1021 Dentists, General: SOC 2010 has no dental-specialist-nec cell; imputed from dentists, general.",29-1021,True,59.2846,0.0046
English Language Teacher,95.74,,25-3011,Felten-AIOE,high,"25-3011 Adult Literacy, Remedial Education, and GED Teachers and Instructors: ESL/adult language instruction.",25-3011,True,95.7422,0.0022
English Second Language Teacher,95.74,,25-3011,Felten-AIOE,high,"25-3011 Adult Literacy, Remedial Education, and GED Teachers and Instructors: ESL/adult language instruction.",25-3011,True,95.7422,0.0022
English for Academic Purposes Teacher,95.74,,25-3011,Felten-AIOE,high,"25-3011 Adult Literacy, Remedial Education, and GED Teachers and Instructors: ESL/adult language instruction.",25-3011,True,95.7422,0.0022
Environment Adviser,87.77,,19-2041,Felten-AIOE,medium,"19-2041 Environmental Scientists and Specialists, Including Health: Environmental scientist/specialist.",19-2041,True,87.765,0.005
Environmental Consultant,87.77,,19-2041,Felten-AIOE,high,"19-2041 Environmental Scientists and Specialists, Including Health: Environmental scientist/specialist.",19-2041,True,87.765,0.005
Environmental Officer,87.77,,19-2041,Felten-AIOE,medium,"19-2041 Environmental Scientists and Specialists, Including Health: Environmental scientist/specialist.",19-2041,True,87.765,0.005
Environmental Planner,92.85,,19-3051,Felten-AIOE,medium,19-3051 Urban and Regional Planners: Urban and regional planner (environmental planning).,19-3051,True,92.8492,0.0008
Environmental Scientist,87.77,,19-2041,Felten-AIOE,high,"19-2041 Environmental Scientists and Specialists, Including Health: Environmental scientist/specialist.",19-2041,True,87.765,0.005
Environmental Technician,64.01,,19-4091,Felten-AIOE,high,"19-4091 Environmental Science and Protection Technicians, Including Health: Environmental science and protection technician.",19-4091,True,64.0084,0.0016
"Ethical, Legal & Social Adviser",95.24,,19-3099,Felten-AIOE,low,"19-3099 Social Scientists and Related Workers, All Other: ELSI/bioethics adviser; social scientists, all other. Could alternatively read as legal.",19-3099,True,95.2443,0.0043
Exercise Physiologist,62.81,,29-1128,Felten-AIOE,high,29-1128 Exercise Physiologists: Exercise physiologist.,29-1128,True,62.8139,0.0039
Financial Analyst,96.5,,13-2051,Felten-AIOE,high,13-2051 Financial Analysts: Financial analyst.,13-2051,True,96.4966,0.0034
Food Analyst,65.89,,19-4011,Felten-AIOE,medium,19-4011 Agricultural and Food Science Technicians: Agricultural and food science technician.,19-4011,True,65.8851,0.0049
Food Microbiology Analyst,65.89,,19-4011,Felten-AIOE,medium,19-4011 Agricultural and Food Science Technicians: Food-lab analyst; agricultural and food science technician.,19-4011,True,65.8851,0.0049
Food Technologist,82.53,,19-1012,Felten-AIOE,high,19-1012 Food Scientists and Technologists: Food scientist and technologist.,19-1012,True,82.5295,0.0005
Freelance Journalist,91.88,,27-3022,Felten-AIOE,high,27-3022 Reporters and Correspondents: Reporter/correspondent.,27-3022,True,91.8763,0.0037
Full Stack Developer,92.22,,15-1132,Felten-AIOE,medium,"15-1132 Software Developers, Applications: Applications software developer; a web-specific reading would map to 15-1134.",15-1132,True,92.2156,0.0044
General Dentist,59.28,,29-1021,Felten-AIOE,high,"29-1021 Dentists, General: Dentist, general.",29-1021,True,59.2846,0.0046
General English Teacher,95.74,,25-3011,Felten-AIOE,high,"25-3011 Adult Literacy, Remedial Education, and GED Teachers and Instructors: ESL/adult language instruction.",25-3011,True,95.7422,0.0022
General Manager,77.3,,11-1021,Felten-AIOE,high,11-1021 General and Operations Managers: General and operations manager.,11-1021,True,77.3006,0.0006
General Practitioner,88.19,,29-1062,Felten-AIOE,high,29-1062 Family and General Practitioners: Family and general practitioner.,29-1062,True,88.1894,0.0006
Genetic Counsellor,100.0,,29-9092,Felten-AIOE,high,29-9092 Genetic Counselors: Genetic counselor.,29-9092,True,100.0,0.0
Genetics Education Officer,94.62,,25-9031,Felten-AIOE,low,25-9031 Instructional Coordinators: Education/outreach role in genomics; instructional coordinator.,25-9031,True,94.6202,0.0002
Genomic Education Development Lead,94.62,,25-9031,Felten-AIOE,low,25-9031 Instructional Coordinators: Education/outreach role in genomics; instructional coordinator.,25-9031,True,94.6202,0.0002
Graduate Analyst,97.73,,13-1111,Felten-AIOE,low,13-1111 Management Analysts: Bare 'analyst' title; management analyst as default.,13-1111,True,97.7308,0.0008
Graduate Environmental Consultant,87.77,,19-2041,Felten-AIOE,high,"19-2041 Environmental Scientists and Specialists, Including Health: Environmental scientist/specialist.",19-2041,True,87.765,0.005
Graduate Environmental Scientist,87.77,,19-2041,Felten-AIOE,high,"19-2041 Environmental Scientists and Specialists, Including Health: Environmental scientist/specialist.",19-2041,True,87.765,0.005
Graduate Nurse,69.07,,29-1141,Felten-AIOE,high,29-1141 Registered Nurses: Registered nurse.,29-1141,True,69.0701,0.0001
Graduate Planner,92.85,,19-3051,Felten-AIOE,high,19-3051 Urban and Regional Planners: Urban and regional planner.,19-3051,True,92.8492,0.0008
Graduate Policy and Advocacy Officer,97.41,,19-3094,Felten-AIOE,medium,19-3094 Political Scientists: Policy analysis maps to political scientists in SOC.,19-3094,True,97.4078,0.0022
Graduate Software Engineer,92.22,,15-1132,Felten-AIOE,high,"15-1132 Software Developers, Applications: Applications software developer.",15-1132,True,92.2156,0.0044
Graduate Technician,68.23,,17-3029,Felten-AIOE,low,"17-3029 Engineering Technicians, Except Drafters, All Other: Bare 'technician' title; engineering technicians, all other.",17-3029,True,68.2296,0.0004
Graduate Technology Risk Consultant,93.39,,15-1122,Felten-AIOE,medium,15-1122 Information Security Analysts: Information security analyst (technology risk).,15-1122,True,93.3883,0.0017
Graduate Town Planner,92.85,,19-3051,Felten-AIOE,high,19-3051 Urban and Regional Planners: Urban and regional planner.,19-3051,True,92.8492,0.0008
Graduate Urban Planner,92.85,,19-3051,Felten-AIOE,high,19-3051 Urban and Regional Planners: Urban and regional planner.,19-3051,True,92.8492,0.0008
Graduate Valuer,83.65,,13-2021,Felten-AIOE,high,13-2021 Appraisers and Assessors of Real Estate: Appraiser/assessor of real estate.,13-2021,True,83.6484,0.0016
Graduate Zoologist,71.17,,19-1023,Felten-AIOE,high,19-1023 Zoologists and Wildlife Biologists: Zoologist/wildlife biologist.,19-1023,True,71.1711,0.0011
Head Of Research And Development,95.24,,11-9121,Felten-AIOE,medium,11-9121 Natural Sciences Managers: Natural sciences manager.,11-9121,True,95.2409,0.0009
Head Teacher,72.04,,11-9039,Felten-AIOE,low,"11-9039 Education Administrators, All Other: Read as language-centre/adult-education head (education administrators, all other); a school reading would map to 11-9032.",11-9039,True,72.0414,0.0014
Head of Quality Department,75.72,,11-3051,Felten-AIOE,medium,11-3051 Industrial Production Managers: O*NET places Quality Control Systems Managers (11-3051.01) under industrial production managers.,11-3051,True,75.7237,0.0037
Health Promotion Officer,80.08,,21-1091,Felten-AIOE,high,21-1091 Health Educators: Health educator.,21-1091,True,80.0828,0.0028
Healthcare Manager,93.63,,11-9111,Felten-AIOE,high,11-9111 Medical and Health Services Managers: Medical and health services manager.,11-9111,True,93.6292,0.0008
Hospital Medical Officer,80.49,,29-1069,Felten-AIOE,medium,"29-1069 Physicians and Surgeons, All Other: Junior hospital doctor; physicians and surgeons, all other.",29-1069,True,80.4867,0.0033
IELTS Trainer,95.74,,25-3011,Felten-AIOE,high,"25-3011 Adult Literacy, Remedial Education, and GED Teachers and Instructors: ESL/adult language instruction.",25-3011,True,95.7422,0.0022
IT Support Officer,70.74,,15-1151,Felten-AIOE,high,15-1151 Computer User Support Specialists: Computer user support specialist.,15-1151,True,70.7362,0.0038
Information Technology Graduate,92.97,,15-1199,Felten-AIOE,medium,"15-1199 Computer Occupations, All Other: Computer occupations, all other.",15-1199,True,92.9728,0.0028
Instructional Designer,94.62,,25-9031,Felten-AIOE,high,25-9031 Instructional Coordinators: Instructional coordinator.,25-9031,True,94.6202,0.0002
Intensive Care Nurse,69.07,,29-1141,Felten-AIOE,high,29-1141 Registered Nurses: Registered nurse.,29-1141,True,69.0701,0.0001
Interior Architect,90.33,,27-1025,Felten-AIOE,medium,27-1025 Interior Designers: Interior designer.,27-1025,True,90.3277,0.0023
Investment Manager,98.06,,11-3031,Felten-AIOE,medium,11-3031 Financial Managers: O*NET places Investment Fund Managers (11-3031.03) under financial managers.,11-3031,True,98.0599,0.0001
Journalist,91.88,,27-3022,Felten-AIOE,high,27-3022 Reporters and Correspondents: Reporter/correspondent.,27-3022,True,91.8763,0.0037
Junior Doctor,80.49,,29-1069,Felten-AIOE,medium,"29-1069 Physicians and Surgeons, All Other: Physicians and surgeons, all other.",29-1069,True,80.4867,0.0033
Laboratory Manager,95.24,,11-9121,Felten-AIOE,medium,11-9121 Natural Sciences Managers: Natural sciences manager.,11-9121,True,95.2409,0.0009
Laboratory Technician,74.33,,19-4099,Felten-AIOE,medium,"19-4099 Life, Physical, and Social Science Technicians, All Other: Bare 'lab technician'; life/physical/social science technicians, all other.",19-4099,True,74.328,0.002
Law Clerk,94.39,,23-2011,Felten-AIOE,medium,"23-2011 Paralegals and Legal Assistants: AU 'law clerk' is a law-firm paralegal role, not a US judicial clerk (23-1012).",23-2011,True,94.3867,0.0033
Law Graduate,95.26,,23-1011,Felten-AIOE,medium,23-1011 Lawyers: Entry-level lawyer.,23-1011,True,95.2618,0.0018
Lawyer,95.26,,23-1011,Felten-AIOE,high,23-1011 Lawyers: Lawyer.,23-1011,True,95.2618,0.0018
Learning Designer,94.62,,25-9031,Felten-AIOE,high,25-9031 Instructional Coordinators: Instructional coordinator.,25-9031,True,94.6202,0.0002
Learning Specialist,94.62,,25-9031,Felten-AIOE,low,25-9031 Instructional Coordinators: Instructional coordinator; ambiguous with the Victorian school 'Learning Specialist' teacher role (25-2031).,25-9031,True,94.6202,0.0002
Learning and Teaching Support Manager,98.42,,11-9033,Felten-AIOE,medium,"11-9033 Education Administrators, Postsecondary: Postsecondary education administrator.",11-9033,True,98.4153,0.0047
Lecturer,92.5,,,Felten-AIOE (family-mean imputation),low,unmatched -> imputed: No single SOC cell for a discipline-agnostic lecturer; imputed from the postsecondary-teacher family. (mean of SOC 25-1xxx postsecondary teachers (n=35)),nan,False,,
Lecturer in Genetic Counselling,85.64,,25-1071,Felten-AIOE,medium,"25-1071 Health Specialties Teachers, Postsecondary: Health specialties teacher, postsecondary.",25-1071,True,85.6361,0.0039
Legal Analyst,94.39,,23-2011,Felten-AIOE,medium,23-2011 Paralegals and Legal Assistants: Paralegal/legal assistant.,23-2011,True,94.3867,0.0033
Legal Assistant,94.39,,23-2011,Felten-AIOE,high,23-2011 Paralegals and Legal Assistants: Paralegal/legal assistant.,23-2011,True,94.3867,0.0033
Legal Counsel,95.26,,23-1011,Felten-AIOE,high,23-1011 Lawyers: In-house lawyer.,23-1011,True,95.2618,0.0018
Legal Officer,95.26,,23-1011,Felten-AIOE,medium,23-1011 Lawyers: Lawyer.,23-1011,True,95.2618,0.0018
Machine Learning Engineer,91.1,,15-1111,Felten-AIOE,medium,15-1111 Computer and Information Research Scientists: Computer and information research scientist; closest SOC 2010 cell for ML engineering.,15-1111,True,91.1041,0.0041
Management Consultant,97.73,,13-1111,Felten-AIOE,high,13-1111 Management Analysts: Management analyst.,13-1111,True,97.7308,0.0008
"Manager, Science & Regulatory",95.24,,11-9121,Felten-AIOE,medium,11-9121 Natural Sciences Managers: Natural sciences manager.,11-9121,True,95.2409,0.0009
Managing Editor,90.48,,27-3041,Felten-AIOE,high,27-3041 Editors: Editor.,27-3041,True,90.4835,0.0035
Market Research Assistant,97.6,,13-1161,Felten-AIOE,medium,13-1161 Market Research Analysts and Marketing Specialists: Market research analyst.,13-1161,True,97.5959,0.0041
Media and Communications Coordinator,94.22,,27-3031,Felten-AIOE,high,27-3031 Public Relations Specialists: Public relations specialist.,27-3031,True,94.2169,0.0031
Medical Director,93.63,,11-9111,Felten-AIOE,medium,11-9111 Medical and Health Services Managers: Medical and health services manager.,11-9111,True,93.6292,0.0008
Medical Intern,80.49,,29-1069,Felten-AIOE,medium,"29-1069 Physicians and Surgeons, All Other: Physicians and surgeons, all other.",29-1069,True,80.4867,0.0033
Medical Laboratory Scientist,70.32,,29-2011,Felten-AIOE,high,29-2011 Medical and Clinical Laboratory Technologists: Medical and clinical laboratory technologist.,29-2011,True,70.3185,0.0015
Medical Project Analyst,97.73,,13-1111,Felten-AIOE,low,13-1111 Management Analysts: Analyst role in a health setting; management analyst as default.,13-1111,True,97.7308,0.0008
Medical Surgical Nurse,69.07,,29-1141,Felten-AIOE,high,29-1141 Registered Nurses: Registered nurse.,29-1141,True,69.0701,0.0001
Mental Health Nurse,69.07,,29-1141,Felten-AIOE,high,29-1141 Registered Nurses: Registered nurse.,29-1141,True,69.0701,0.0001
Microbiologist,80.18,,19-1022,Felten-AIOE,high,19-1022 Microbiologists: Microbiologist.,19-1022,True,80.1759,0.0041
New Product Development Technologist,82.53,,19-1012,Felten-AIOE,medium,19-1012 Food Scientists and Technologists: Food scientist and technologist (NPD in food manufacturing).,19-1012,True,82.5295,0.0005
News Editor,90.48,,27-3041,Felten-AIOE,high,27-3041 Editors: Editor.,27-3041,True,90.4835,0.0035
News Reporter,91.88,,27-3022,Felten-AIOE,high,27-3022 Reporters and Correspondents: Reporter/correspondent.,27-3022,True,91.8763,0.0037
Nurse Coordinator,69.07,,29-1141,Felten-AIOE,medium,29-1141 Registered Nurses: Registered nurse with coordination duties.,29-1141,True,69.0701,0.0001
Nutritionist,95.6,,29-1031,Felten-AIOE,high,29-1031 Dietitians and Nutritionists: Dietitian and nutritionist.,29-1031,True,95.5959,0.0041
Operations Manager,77.3,,11-1021,Felten-AIOE,high,11-1021 General and Operations Managers: General and operations manager.,11-1021,True,77.3006,0.0006
Oral Medicine Specialist,59.28,,29-1021,Felten-AIOE,medium,"29-1021 Dentists, General: SOC 2010 has no dental-specialist-nec cell; imputed from dentists, general.",29-1021,True,59.2846,0.0046
Orthodontic Resident,67.46,,29-1023,Felten-AIOE,medium,29-1023 Orthodontists: Orthodontist in training.,29-1023,True,67.4561,0.0039
Orthodontist,67.46,,29-1023,Felten-AIOE,high,29-1023 Orthodontists: Orthodontist.,29-1023,True,67.4561,0.0039
Paediatric Dental Registrar,59.28,,29-1021,Felten-AIOE,medium,"29-1021 Dentists, General: SOC 2010 has no paediatric-dentist cell; imputed from dentists, general.",29-1021,True,59.2846,0.0046
Paediatric Dentist,59.28,,29-1021,Felten-AIOE,medium,"29-1021 Dentists, General: SOC 2010 has no paediatric-dentist cell; imputed from dentists, general.",29-1021,True,59.2846,0.0046
Paediatric Dentistry Registrar,59.28,,29-1021,Felten-AIOE,medium,"29-1021 Dentists, General: SOC 2010 has no paediatric-dentist cell; imputed from dentists, general.",29-1021,True,59.2846,0.0046
Paralegal,94.39,,23-2011,Felten-AIOE,high,23-2011 Paralegals and Legal Assistants: Paralegal/legal assistant.,23-2011,True,94.3867,0.0033
Patent Analyst,88.56,,13-1199,Felten-AIOE,low,"13-1199 Business Operations Specialists, All Other: Prior-art/IP analysis; business operations specialists, all other.",13-1199,True,88.5649,0.0049
Periodontist,59.28,,29-1021,Felten-AIOE,medium,"29-1021 Dentists, General: SOC 2010 has no dental-specialist-nec cell; imputed from dentists, general.",29-1021,True,59.2846,0.0046
Physiotherapist,55.07,,29-1123,Felten-AIOE,high,29-1123 Physical Therapists: Physical therapist.,29-1123,True,55.071,0.001
Physiotherapy Assistant,50.96,,31-2021,Felten-AIOE,high,31-2021 Physical Therapist Assistants: Physical therapist assistant.,31-2021,True,50.9575,0.0025
