program_code,occupation,onet_soc_code,onet_soc_title,ai_exposure_index,mapping_confidence,index_source,mapping_note
b-arts,University Lecturer,25-1126,"Philosophy and Religion Teachers, Postsecondary",96.09,medium,"Felten-AIOE (Appendix A, rescaled 0-100)","Refused globally on the ~30-point discipline spread. Not on the 0009 field list; it enters b-arts only through the pooled Bachelor of Arts (Philosophy) JIR record (the sole BA major record reporting it, employers UoM, Monash, Victorian Bar, Corrs), so the Philosophy cell 25-1126 Philosophy and Religion Teachers (96.08) is the anchored read. Every humanities/social-science lecturer cell the BA pool could carry sits in a 3.06 band (25-1062 94.78 to 25-1125 97.84), so the call is low-materiality; rejected 25-1125 History, 1.76 higher; 25-1123 English, 1.30 higher; 25-1112 Law (95.91), 0.17 lower despite the law-heavy employer list; 25-1121 Art, Drama and Music (81.66), 14.42 lower, because no fine-arts BA record reports the title. Do not generalise beyond the BA pool."
mc-apling,University Lecturer,25-1123,"English Language and Literature Teachers, Postsecondary",97.38,medium,"Felten-AIOE (Appendix A, rescaled 0-100)","Refused globally on the ~30-point discipline spread; the field (091521 Linguistics) is the tiebreak. SOC 2010 defines 25-1123 English Language and Literature Teachers, Postsecondary (97.38) as teaching English language and literature 'including linguistics and comparative literature', the literal home for a linguistics lectureship, matching the program's English-dominant TESOL/language-assessment profile. Rejected 25-1124 Foreign Language and Literature (95.38), 2.00 lower; 25-3011 Adult Literacy (95.73), 1.65 lower, the record's ESL-teaching cell; 25-1081 Education Teachers (92.02), 5.36 lower, the cell the record's 'Lecturer in Language Learning and Assessment' uses because that qualifier names assessment/education. 5.36 band, low materiality."
mc-app,University Lecturer,25-1066,"Psychology Teachers, Postsecondary",95.38,high,"Felten-AIOE (Appendix A, rescaled 0-100)","Refused globally on the discipline spread; 090701 Psychology fixes 25-1066 Psychology Teachers, Postsecondary (95.37). Rejected 25-1081 Education Teachers (92.02), 3.35 lower — a positive-education read; 25-1067 Sociology (95.74), 0.37 higher."
mc-arclarc,University Lecturer,25-1031,"Architecture Teachers, Postsecondary",92.72,high,"Felten-AIOE (Appendix A, rescaled 0-100)","Refused globally on the discipline spread; 040101 Architecture fixes 25-1031 Architecture Teachers, Postsecondary (92.71), the dedicated SOC cell, which also carries the landscape-architecture component. Rejected 25-1121 Art, Drama and Music (81.66), 11.05 lower — a design-school read SOC does not use once a dedicated architecture cell exists; 25-1032 Engineering (95.79), 3.08 higher."
mc-cat,University Lecturer,25-1071,"Health Specialties Teachers, Postsecondary",85.64,medium,"Felten-AIOE (Appendix A, rescaled 0-100)","Refused globally on the discipline spread; 069999 Health n.e.c. is the tiebreak. Creative arts therapy is an allied-health discipline and 25-1071 Health Specialties Teachers, Postsecondary (85.63) names 'therapy' among its subjects. Rejected 25-1121 Art, Drama and Music (81.66), 3.97 lower — the arts-practice read, live because UoM houses the program in the Faculty of Fine Arts and Music, but low materiality; 25-1066 Psychology (95.37), 9.74 higher — the psychotherapy read. Both rivals within 10 of the chosen cell but the three span 13.71, hence medium."
mc-clined,University Lecturer,25-1071,"Health Specialties Teachers, Postsecondary",85.64,medium,"Felten-AIOE (Appendix A, rescaled 0-100)","Refused globally on the discipline spread; the 070111 Teacher Education: Higher Education list is medical/nursing practitioners (Anaesthetist, GP, Nurse Educator, Veterinarian) and the program trains health professionals as educators, so the lectureship is a health-faculty academic post: 25-1071 Health Specialties Teachers (85.63), which also covers medical-education teaching itself. Rejected 25-1072 Nursing Instructors (75.92), 9.71 lower — a live rival because Nurse Educator sits on the same list, but nursing is one profession in a multi-profession cohort; 25-1081 Education Teachers (92.02), 6.39 higher — graduates lecture in their clinical discipline. Full span 16.10, rivals within 10 each way, hence medium."
mc-culmc,University Lecturer,25-1121,"Art, Drama, and Music Teachers, Postsecondary",81.67,medium,"Felten-AIOE (Appendix A, rescaled 0-100)","Refused globally on the discipline spread; 100399 Visual Arts and Crafts n.e.c. fixes 25-1121 Art, Drama, and Music Teachers, Postsecondary (81.66), the cell carrying studio/applied-art academics — in the US framing SOC follows, art conservation is taught in art departments (Delaware/Winterthur, Buffalo State, NYU IFA), and the crosswalk already treats conservation as a practice cell (Conservator -> 25-4013). Rejected 25-1061 Anthropology and Archaeology Teachers (95.09), 13.43 higher — the heritage-science read, excluded because the program is coded to Visual Arts not archaeology; 25-1052 Chemistry (95.38), 13.72 higher — the conservation-science read, a minority of the cohort; 25-1125 History (97.84), 16.18 higher — the Grimwade Centre's school (SHAPS), but the subject taught is not history. Rivals >10 away; the field code plus the art-department convention is the tiebreak. The standing global refusal of 'Heritage consultant' for mc-culmc is a different title and untouched."
mc-eleceng,University Lecturer,25-1032,"Engineering Teachers, Postsecondary",95.79,high,"Felten-AIOE (Appendix A, rescaled 0-100)","Refused globally on the discipline spread; 031301 Electrical Engineering fixes 25-1032 Engineering Teachers, Postsecondary (95.79). Rejected 25-1021 Computer Science Teachers (94.04), 1.75 lower; 25-1054 Physics (88.48), 7.31 lower."
mc-spmed,University Lecturer,25-1071,"Health Specialties Teachers, Postsecondary",85.64,medium,"Felten-AIOE (Appendix A, rescaled 0-100)","Refused globally on the discipline spread; 060199 Medical Studies n.e.c. (sports medicine for medical practitioners) fixes a medical-faculty lectureship, 25-1071 Health Specialties Teachers (85.63), matching precedent 'Lecturer in Speech Pathology -> 25-1071' and the 060199 list (Anaesthetist, Surgeon, GP). Rejected 25-1193 Recreation and Fitness Studies Teachers (91.35), 5.72 higher — the exercise-science read, the program's alternative ASCED field; 25-1042 Biological Science (92.85), 7.22 higher. 7.22 band."
mc-scibif,University Lecturer,25-1042,"Biological Science Teachers, Postsecondary",92.85,high,"Felten-AIOE (Appendix A, rescaled 0-100)","Refused globally on the discipline spread; 010999 Biological Sciences n.e.c. fixes 25-1042 Biological Science Teachers, Postsecondary (92.85). Rejected 25-1021 Computer Science Teachers (94.04), 1.19 higher — the program's alternative field (020199); 25-1022 Mathematical Science (95.49), 2.64 higher. 2.64 band, low materiality."
mc-teachsi,School Teachers nfd,25-2031,"Secondary School Teachers, Except Special and Vocational Education",91.99,high,"Felten-AIOE (Appendix A, rescaled 0-100)","Refused globally because ANZSCO 2410 'not further defined' leaves the level open (25-2012 72.28 / 25-2021 84.73 / 25-2031 91.98 / 25-2022 94.25); the Master of Teaching (Secondary) Internship scope (070105, Secondary School Teacher 56.7% of the list) fixes the level exactly as the scoped 'Teacher @ mc-teachsa -> 25-2031' row does for the parent program: 25-2031 Secondary School Teachers (91.98). Rejected 25-2022 Middle School, 2.27 higher (no Australian equivalent); 25-2021 Elementary, 7.25 lower (not the qualification held)."
mc-tchecp,School Teachers nfd,25-2021,"Elementary School Teachers, Except Special Education",84.74,medium,"Felten-AIOE (Appendix A, rescaled 0-100)","Refused globally on the open level; the Master of Teaching (Early Childhood and Primary) scope (070101, also covering 070103) is a full F-6 primary qualification, so a school-coded residual posting is a primary-school post and the mc-teachpr precedent ('Teacher @ mc-teachpr -> 25-2021', Foundation/Prep is a primary-school year, not preschool) carries over: 25-2021 Elementary School Teachers (84.73). The pre-primary role is excluded because ANZSCO 241111 Early Childhood (Pre-primary School) Teacher is listed separately on the same field list. Rejected 25-2012 Kindergarten (72.28), 12.45 lower — the Foundation-only read, one year of a seven-year qualification, and the nfd residual also appears at 3.3% on the Secondary list, so it is a generic coding artefact rather than a Foundation marker; 25-2011 Preschool (64.33), 20.40 lower, not a school; 25-2031 Secondary, 7.25 higher, not the qualification held. Reviewer: kept on the primary-qualification tiebreak; the EC-only sibling (mc-teachec) has no such tiebreak and was refused."
b-arts,Heritage Consultant,19-3091,Anthropologists and Archeologists,80.20,medium,"Felten-AIOE (Appendix A, rescaled 0-100)","Refused globally (20th run, and for mc-culmc) because heritage work spans archaeology 19-3091 (80.19), architecture 17-1011 (88.55) and planning 19-3051 (92.84), a 12.65 band with no anchor. The b-arts scope removes the two professional cells: a BA graduate holds neither an architecture nor a planning qualification, so built-heritage consultancy at 17-1011/19-3051 is not open to this cohort. What remains is archaeological cultural-heritage management 19-3091 versus historical-heritage research 19-3093 Historians (89.78), 9.59 apart, and the pooled BA records break that tie: the Ancient World Studies record reports the title (with 'Graduate Heritage Consultant'), names ten archaeology/heritage-management consultancies among its 13 employers (Extent Heritage, Alpha Archaeology, Australian Cultural Heritage Management, Navin Officer, Terra Culture) and carries the mapped sibling 'Field Archaeologist -> 19-3091', while the History and Art History records also report it but with museum/gallery employers and no consultancy. Rejected 19-3093, 9.59 higher; 19-3051, 12.65 higher; 17-1011, 8.36 higher. Scoped only — does not lift the mc-culmc refusal."
b-arts,Graduate Heritage Consultant,19-3091,Anthropologists and Archeologists,80.20,medium,"Felten-AIOE (Appendix A, rescaled 0-100)","'Graduate' is rank (precedent 'Finance Graduate', 'Actuarial Analyst -> Actuaries'); the work is the Heritage Consultant @ b-arts row and the same resolution applies — the BA scope excludes the architecture (17-1011, 88.55) and planning (19-3051, 92.84) professional cells, and the reporting records (Ancient World Studies with archaeology-consultancy employers and sibling 'Field Archaeologist -> 19-3091'; Art History) fix the archaeological cultural-heritage read: 19-3091 (80.19). Rejected 19-3093 Historians (89.78), 9.59 higher; 19-3051, 12.65 higher."
field:070101,School Teachers nfd,25-2021,"Elementary School Teachers, Except Special Education",84.74,medium,"Felten-AIOE (Appendix A, rescaled 0-100)","Reviewer overturn: the mapper proposed 25-2011 Preschool Teachers (64.33). Refused globally because ANZSCO 2410 School Teachers nfd fixes no level (25-2011 64.33 to 25-2022 94.25, ~30 points); the field list is the tiebreak. The 070101 list already names Early Childhood (Pre-primary School) Teacher (20.5%, coded 241111 = 25-2011) separately, so a residual 'school teacher' posting is one reported without a level in a school, and the list's modal school posting is Primary School Teacher (34.3%); the mc-tchecp program-scoped row on the same 070101 field made the identical call. 25-2021 Elementary School Teachers, Except Special Education (84.73). Rejected 25-2011 Preschool (64.33), 20.40 lower, because a preschool is not a school and its teachers are already a named line; 25-2012 Kindergarten (72.28), 12.45 lower, the foundation year only. Medium because the F-2 end of an early-childhood qualification sits near the preschool cell."
field:070103,School Teachers nfd,25-2021,"Elementary School Teachers, Except Special Education",84.74,high,"Felten-AIOE (Appendix A, rescaled 0-100)","Refused globally because ANZSCO 2410 School Teachers nfd fixes no level and 25-2011 Preschool (64.33) to 25-2022 Middle (94.25) spans ~30 points; the field's level is the tiebreak. Primary teacher education (Primary School Teacher 66.9% of the list) fixes 25-2021 Elementary School Teachers, Except Special Education (84.73), matching the mc-teachpr precedent. Rejected 25-2022 Middle School (94.25), 9.52 higher, because US grades 6-8 has no Australian primary equivalent; 25-2012 Kindergarten (72.28), 12.45 lower, only the foundation year."
field:070105,School Teachers nfd,25-2031,"Secondary School Teachers, Except Special and Vocational Education",91.99,high,"Felten-AIOE (Appendix A, rescaled 0-100)","Refused globally because ANZSCO 2410 School Teachers nfd fixes no level and 25-2011 Preschool (64.33) to 25-2022 Middle (94.25) spans ~30 points; the field's level is the tiebreak. Secondary teacher education (Secondary School Teacher 56.7% of the list) fixes 25-2031 Secondary School Teachers, Except Special and Vocational Education (91.98), matching the mc-teachsa and mc-teachsi precedents. Rejected 25-2022 Middle School (94.25), 2.27 higher (no Australian middle-school equivalent); 25-2032 Vocational Education Teachers, Secondary (72.50), 19.48 lower, a VET-in-schools specialism not the field."
field:070113,School Teachers nfd,25-2052,"Special Education Teachers, Kindergarten and Elementary School",81.13,medium,"Felten-AIOE (Appendix A, rescaled 0-100)","Refused globally because ANZSCO 2410 School Teachers nfd fixes no level and 25-2011 Preschool (64.33) to 25-2022 Middle (94.25) spans ~30 points; the field's level is the tiebreak. Special-education teacher education spans P-12 and its list leans primary (Primary 27.5%, Special Needs 20.3%, Secondary 16.1%), so the call is 25-2052 Special Education Teachers, Kindergarten and Elementary School (81.13), the cell the field's own Special Needs Teacher line already takes. Rejected 25-2021 Elementary (84.73), 3.60 higher, the non-specialist read; 25-2054 Secondary (86.44), 5.31 higher; 25-2053 Middle School (94.48), 13.35 higher, no Australian tier; 25-2059 All Other (47.80), 33.33 lower, an itinerant/unclassified residual. Live rivals inside 10, hence medium."
field:0006,University Lecturer,25-1071,"Health Specialties Teachers, Postsecondary",85.64,medium,"Felten-AIOE (Appendix A, rescaled 0-100)","Refused globally because ANZSCO 242111 University Lecturer is discipline-agnostic and the 25-1xxx postsecondary cells spread ~30 points (25-1194 67.47 to 25-1125 97.84); the field code is the tiebreak. The broad Health field (0006, list led by Audiologist, Podiatrist, Dietitian) takes 25-1071 Health Specialties Teachers, Postsecondary (85.63), the cell SOC reserves for medicine, dentistry, pharmacy, public health, therapy and laboratory subjects, matching the mc-cat/mc-clined precedents. Rejected 25-1072 Nursing Instructors (75.92), 9.71 lower, one profession at 3.3% of the list; 25-1066 Psychology (95.37), 9.74 higher, a behavioural-science read. Rivals inside 10 each way but the pair spans 19.45, hence medium."
field:0101,University Lecturer,25-1022,"Mathematical Science Teachers, Postsecondary",95.50,high,"Felten-AIOE (Appendix A, rescaled 0-100)","Refused globally on the ~30-point discipline spread; the field code is the tiebreak. Mathematical Sciences fixes 25-1022 Mathematical Science Teachers, Postsecondary (95.49), which names mathematics and statistics. Rejected 25-1021 Computer Science (94.04), 1.45 lower; 25-1054 Physics (88.48), 7.01 lower."
field:010103,University Lecturer,25-1022,"Mathematical Science Teachers, Postsecondary",95.50,high,"Felten-AIOE (Appendix A, rescaled 0-100)","Refused globally on the ~30-point discipline spread; the field code is the tiebreak. Statistics fixes 25-1022 Mathematical Science Teachers, Postsecondary (95.49), which names statistics explicitly; same call as the 991aa/mc-biosenh program-scoped rows. Rejected 25-1071 Health Specialties (85.63), 9.86 lower, the biostatistics-in-a-public-health-school read, because the subject taught is statistics; 25-1042 Biological Science (92.85), 2.64 lower."
field:010301,University Lecturer,25-1054,"Physics Teachers, Postsecondary",88.48,high,"Felten-AIOE (Appendix A, rescaled 0-100)","Refused globally on the ~30-point discipline spread; the field code is the tiebreak. Physics fixes 25-1054 Physics Teachers, Postsecondary (88.48), the dedicated cell. Rejected 25-1051 Atmospheric, Earth, Marine and Space Sciences (94.72), 6.24 higher, an astrophysics/space read that SOC files separately; 25-1032 Engineering (95.79), 7.31 higher."
field:0105,University Lecturer,25-1052,"Chemistry Teachers, Postsecondary",95.38,high,"Felten-AIOE (Appendix A, rescaled 0-100)","Refused globally on the ~30-point discipline spread; the field code is the tiebreak. Chemical Sciences fixes 25-1052 Chemistry Teachers, Postsecondary (95.38). Rejected 25-1042 Biological Science (92.85), 2.53 lower (biochemistry read); 25-1032 Engineering (95.79), 0.41 higher."
field:0109,University Lecturer,25-1042,"Biological Science Teachers, Postsecondary",92.85,high,"Felten-AIOE (Appendix A, rescaled 0-100)","Refused globally on the ~30-point discipline spread; the field code is the tiebreak. Biological Sciences fixes 25-1042 Biological Science Teachers, Postsecondary (92.85). Rejected 25-1071 Health Specialties (85.63), 7.22 lower, the biomedical-school read, because the subject taught is biology; 25-1041 Agricultural Sciences (81.58), 11.27 lower, because ecology and marine biology are not an agriculture department; 25-1052 Chemistry (95.38), 2.53 higher."
field:010999,University Lecturer,25-1042,"Biological Science Teachers, Postsecondary",92.85,high,"Felten-AIOE (Appendix A, rescaled 0-100)","Refused globally on the ~30-point discipline spread; the field code is the tiebreak. Biological Sciences n.e.c. is a residual of 0109 and takes the same cell, 25-1042 Biological Science Teachers, Postsecondary (92.85), matching the mc-scibif row. Rejected 25-1071 Health Specialties (85.63), 7.22 lower; 25-1041 Agricultural Sciences (81.58), 11.27 lower; 25-1052 Chemistry (95.38), 2.53 higher."
field:030301,University Lecturer,25-1032,"Engineering Teachers, Postsecondary",95.79,high,"Felten-AIOE (Appendix A, rescaled 0-100)","Refused globally on the ~30-point discipline spread; the field code is the tiebreak. Chemical Engineering fixes 25-1032 Engineering Teachers, Postsecondary (95.79). Rejected 25-1052 Chemistry (95.38), 0.41 lower; 25-1042 Biological Science (92.85), 2.94 lower, the bioprocess read."
field:031301,University Lecturer,25-1032,"Engineering Teachers, Postsecondary",95.79,high,"Felten-AIOE (Appendix A, rescaled 0-100)","Refused globally on the ~30-point discipline spread; the field code is the tiebreak. Electrical Engineering fixes 25-1032 Engineering Teachers, Postsecondary (95.79), same as the mc-eleceng program-scoped row. Rejected 25-1021 Computer Science (94.04), 1.75 lower; 25-1054 Physics (88.48), 7.31 lower."
field:0401,University Lecturer,25-1031,"Architecture Teachers, Postsecondary",92.72,medium,"Felten-AIOE (Appendix A, rescaled 0-100)","Refused globally on the ~30-point discipline spread; the field code is the tiebreak. Architecture and Urban Environment takes 25-1031 Architecture Teachers, Postsecondary (92.71), whose O*NET definition names architectural environmental design, interior architecture/design and landscape architecture, covering the Architect, Interior Designer and Landscape Architect lines on the list. Rejected 25-1064 Geography (95.02), 2.31 higher, the urban-planning read for the planning sub-field (Urban and Regional Planner 1.6%); 25-1032 Engineering (95.79), 3.08 higher; 25-1121 Art, Drama and Music (81.66), 11.05 lower, the design-school read SOC does not use once a dedicated cell exists. Medium because the broad code also holds planning lectureships."
field:040101,University Lecturer,25-1031,"Architecture Teachers, Postsecondary",92.72,high,"Felten-AIOE (Appendix A, rescaled 0-100)","Refused globally on the ~30-point discipline spread; the field code is the tiebreak. Architecture fixes 25-1031 Architecture Teachers, Postsecondary (92.71), the dedicated cell, matching the mc-arclarc row. Rejected 25-1121 Art, Drama and Music (81.66), 11.05 lower; 25-1032 Engineering (95.79), 3.08 higher."
field:0601,University Lecturer,25-1071,"Health Specialties Teachers, Postsecondary",85.64,high,"Felten-AIOE (Appendix A, rescaled 0-100)","Refused globally on the ~30-point discipline spread; the field code is the tiebreak. Medical Studies fixes 25-1071 Health Specialties Teachers, Postsecondary (85.63), whose definition names medicine. Rejected 25-1042 Biological Science (92.85), 7.22 higher, the biomedical-science read; 25-1072 Nursing Instructors (75.92), 9.71 lower, a different profession."
field:060101,University Lecturer,25-1071,"Health Specialties Teachers, Postsecondary",85.64,high,"Felten-AIOE (Appendix A, rescaled 0-100)","Refused globally on the ~30-point discipline spread; the field code is the tiebreak. General Medicine fixes 25-1071 Health Specialties Teachers, Postsecondary (85.63), which names medicine. Rejected 25-1042 Biological Science (92.85), 7.22 higher; 25-1072 Nursing Instructors (75.92), 9.71 lower."
field:060199,University Lecturer,25-1071,"Health Specialties Teachers, Postsecondary",85.64,high,"Felten-AIOE (Appendix A, rescaled 0-100)","Refused globally on the ~30-point discipline spread; the field code is the tiebreak. Medical Studies n.e.c. is a residual of 0601 and takes the same cell, 25-1071 Health Specialties Teachers, Postsecondary (85.63), matching the mc-spmed row. Rejected 25-1042 Biological Science (92.85), 7.22 higher; 25-1072 Nursing Instructors (75.92), 9.71 lower."
field:060701,University Lecturer,25-1071,"Health Specialties Teachers, Postsecondary",85.64,high,"Felten-AIOE (Appendix A, rescaled 0-100)","Refused globally on the ~30-point discipline spread; the field code is the tiebreak. Dentistry fixes 25-1071 Health Specialties Teachers, Postsecondary (85.63), whose definition names dentistry explicitly, matching the Clinical Demonstrator row for mc-ddensur. Rejected 25-1042 Biological Science (92.85), 7.22 higher, the oral-biology read; 25-1072 Nursing Instructors (75.92), 9.71 lower."
field:061311,University Lecturer,25-1071,"Health Specialties Teachers, Postsecondary",85.64,medium,"Felten-AIOE (Appendix A, rescaled 0-100)","Refused globally on the ~30-point discipline spread; the field code is the tiebreak. Epidemiology fixes 25-1071 Health Specialties Teachers, Postsecondary (85.63), whose definition names public health, the school epidemiology is taught in; the list is led by medical practitioners (Medical Practitioners nec 11.1%, RMO 8.9%) with Statistician at 6.7%. Rejected 25-1022 Mathematical Science (95.49), 9.86 higher, the biostatistics read, because the subject taught is epidemiology not statistics (the 991aa Statistics row makes the opposite call on the opposite subject); 25-1042 Biological Science (92.85), 7.22 higher. Rival inside 10 with a subject-taught tiebreak, medium because the quantitative half of the field pulls the other way."
field:061701,University Lecturer,25-1071,"Health Specialties Teachers, Postsecondary",85.64,high,"Felten-AIOE (Appendix A, rescaled 0-100)","Refused globally on the ~30-point discipline spread; the field code is the tiebreak. Physiotherapy fixes 25-1071 Health Specialties Teachers, Postsecondary (85.63), whose definition names therapy (physical therapy in the O*NET title list). Rejected 25-1193 Recreation and Fitness Studies (91.35), 5.72 higher, an exercise-science read; 25-1042 Biological Science (92.85), 7.22 higher."
field:061707,University Lecturer,25-1071,"Health Specialties Teachers, Postsecondary",85.64,high,"Felten-AIOE (Appendix A, rescaled 0-100)","Refused globally on the ~30-point discipline spread; the field code is the tiebreak. Speech Pathology fixes 25-1071 Health Specialties Teachers, Postsecondary (85.63), the therapy/allied-health cell, matching the global Lecturer in Speech Pathology row (verbatim O*NET reported title). Rejected 25-1123 English Language and Literature (97.38), 11.75 higher, a linguistics read, because speech pathology is an allied-health discipline accredited by SPA not a language department; 25-1042 Biological Science (92.85), 7.22 higher."
